vid_id,num_frames,video_duration_s,video_fps,chunk_size,num_chunks,total_stream_time_s,per_frame_latency_ms,mean_chunk_time_ms,max_chunk_time_ms,first_chunk_latency_ms,real_time_factor
P10T10C01,2500,29168.0,0.09,25,100,6.621912002563477,2.648764801025391,66.21912002563477,67.70491600036621,67.70491600036621,0.0002270266045859667
P02T03C03,2500,768.0,3.26,25,100,6.6165900230407715,2.6466360092163086,66.16590023040771,67.69084930419922,67.69084930419922,0.008615351592501005
P02T12C02,2500,26228.0,0.1,25,100,7.0435261726379395,2.817410469055176,70.4352617263794,78.09305191040039,68.7868595123291,0.00026854987694974604
P02T03C07,2500,767.0,3.26,25,100,6.636249542236328,2.6544998168945315,66.36249542236328,69.0004825592041,67.78287887573242,0.008652215830816594
P10T07C04,2500,29210.0,0.09,25,100,6.695231914520264,2.6780927658081053,66.95231914520264,69.2141056060791,69.2141056060791,0.0002292102675289375
P10T07C05,2500,29231.0,0.09,25,100,6.6296751499176025,2.6518700599670413,66.29675149917603,69.20933723449707,69.20933723449707,0.00022680288563229457
P02T02C07,2500,22353.0,0.11,25,100,6.615435600280762,2.646174240112305,66.15435600280762,67.45719909667969,67.45719909667969,0.00029595291908382596
P10T02C05,2500,21998.0,0.11,25,100,6.580574035644531,2.6322296142578123,65.80574035644531,68.27187538146973,68.27187538146973,0.0002991441965471648
P10T02C04,2500,21939.0,0.11,25,100,6.51429295539856,2.605717182159424,65.1429295539856,67.26408004760742,67.26408004760742,0.00029692752429001136
P16T15C07,2500,23864.0,0.1,25,100,6.511473894119263,2.604589557647705,65.11473894119263,66.77699089050293,66.77699089050293,0.00027285760535196375
P16T15C06,2500,7445.0,0.34,25,100,6.5073816776275635,2.6029526710510256,65.07381677627563,66.8177604675293,66.8177604675293,0.0008740606685866438
P16T15C03,2500,23844.0,0.1,25,100,6.5204901695251465,2.6081960678100584,65.20490169525146,66.61438941955566,66.61438941955566,0.00027346461036424874
P18T11C02,2500,40328.0,0.06,25,100,6.629728078842163,2.6518912315368652,66.29728078842163,67.84319877624512,67.84319877624512,0.00016439516164556048
P18T11C01,2500,40351.0,0.06,25,100,6.480735778808594,2.5922943115234376,64.80735778808594,66.47205352783203,66.47205352783203,0.00016060905005597367
P16T14C06,2500,22831.0,0.11,25,100,6.587261199951172,2.6349044799804684,65.87261199951172,74.71656799316406,72.27849960327148,0.000288522675307747
P16T14C07,2500,22870.0,0.11,25,100,6.480547904968262,2.592219161987305,64.80547904968262,66.56503677368164,66.52235984802246,0.0002833645782670862
P16T14C03,2500,22866.0,0.11,25,100,6.4442455768585205,2.577698230743408,64.4424557685852,66.56241416931152,66.56241416931152,0.00028182653620478093
P18T03C04,2500,26934.0,0.09,25,100,6.597336530685425,2.63893461227417,65.97336530685425,74.22041893005371,72.45159149169922,0.00024494455077914254
P18T03C05,2500,26909.0,0.09,25,100,6.489718675613403,2.595887470245361,64.89718675613403,66.32304191589355,66.32304191589355,0.00024117279258290548
P02T02C03,2500,22370.0,0.11,25,100,6.492067575454712,2.5968270301818848,64.92067575454712,66.27750396728516,66.27750396728516,0.00029021312362336664
P16T11C02,2500,12796.0,0.2,25,100,6.479365348815918,2.5917461395263675,64.79365348815918,66.35546684265137,66.35546684265137,0.0005063586549559173
P02T02C06,2500,734.0,3.41,25,100,6.501395225524902,2.6005580902099608,65.01395225524902,68.27926635742188,68.27926635742188,0.008857486683276433
P16T06C02,2500,28771.0,0.09,25,100,6.581861972808838,2.632744789123535,65.81861972808838,67.6274299621582,67.6274299621582,0.00022876722994712864
P20T08C01,2500,34165.0,0.07,25,100,6.571429491043091,2.6285717964172366,65.71429491043091,67.97027587890625,67.97027587890625,0.00019234390431854503
P11T06C04,2500,20378.0,0.12,25,100,6.625326871871948,2.6501307487487793,66.25326871871948,67.87323951721191,67.75784492492676,0.0003251215463672563
